CONFERENCE,NCAA NAME,NCAA NICKNAME,VSIN Name,NCAA SLUG,VSiN Slug,NCAA LOGO URL
ACC,Duke,Blue Devils,Duke,duke,duke,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg
ACC,Virginia,Cavaliers,Virginia,virginia,virginia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg
ACC,Miami (FL),Hurricanes,Miami FL,miami-fl,miami-fl,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-fl.svg
ACC,North Carolina,Tar Heels,North Carolina,north-carolina,north-carolina,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg
ACC,Clemson,Tigers,Clemson,clemson,clemson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/clemson.svg
ACC,Louisville,Cardinals,Louisville,louisville,louisville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisville.svg
ACC,NC State,Wolfpack,NC State,north-carolina-st,nc-state,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina-st.svg
ACC,California,Golden Bears,California,california,california,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california.svg
ACC,Florida St.,Seminoles,Florida ST,florida-st,florida-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg
ACC,SMU,Mustangs,SMU,smu,smu,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/smu.svg
ACC,Virginia Tech,Hokies,Virginia Tech,virginia-tech,virginia-tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg
ACC,Stanford,Cardinal,Stanford,stanford,stanford,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stanford.svg
ACC,Wake Forest,Demon Deacons,Wake Forest,wake-forest,wake-forest,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wake-forest.svg
ACC,Syracuse,Orange,Syracuse,syracuse,syracuse,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg
ACC,Notre Dame,Fighting Irish,Notre Dame,notre-dame,notre-dame,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/notre-dame.svg
ACC,Pittsburgh,Panthers,Pittsburgh,pittsburgh,pittsburgh,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pittsburgh.svg
ACC,Boston College,Eagles,Boston College,boston-college,boston-college,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg
ACC,Georgia Tech,Yellow Jackets,Georgia Tech,georgia-tech,georgia-tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-tech.svg
America East,UMBC,Retrievers,UMBC,umbc,umbc,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg
America East,Vermont,Catamounts,Vermont,vermont,vermont,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vermont.svg
America East,NJIT,Highlanders,NJIT,njit,njit,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/njit.svg
America East,UMass Lowell,River Hawks,UMass Lowell,umass-lowell,umass-lowell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umass-lowell.svg
America East,UAlbany,Great Danes,Albany,albany-ny,albany,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg
America East,Maine,Black Bears,Maine,maine,maine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maine.svg
America East,New Hampshire,Wildcats,New Hampshire,new-hampshire,new-hampshire,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-hampshire.svg
America East,Bryant,Bulldogs,Bryant,bryant,bryant,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg
America East,Binghamton,Bearcats,Binghamton,binghamton,binghamton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg
American,South Fla.,Bulls,South Florida,south-fla,south-florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-fla.svg
American,Wichita St.,Shockers,Wichita ST,wichita-st,wichita-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wichita-st.svg
American,Tulsa,Golden Hurricane,Tulsa,tulsa,tulsa,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tulsa.svg
American,UAB,Blazers,UAB,uab,uab,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uab.svg
American,Fla. Atlantic,Owls,FL Atlantic,fla-atlantic,fl-atlantic,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fla-atlantic.svg
American,Charlotte,49ers,Charlotte,charlotte,charlotte,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charlotte.svg
American,Tulane,Green Wave,Tulane,tulane,tulane,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tulane.svg
American,North Texas,Mean Green,North Texas,north-texas,north-texas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-texas.svg
American,Temple,Owls,Temple,temple,temple,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/temple.svg
American,Memphis,Tigers,Memphis,memphis,memphis,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/memphis.svg
American,East Carolina,Pirates,East Carolina,east-carolina,east-carolina,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-carolina.svg
American,Rice,Owls,Rice,rice,rice,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rice.svg
American,UTSA,Roadrunners,Texas-San Antonio,utsa,texas-san-antonio,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utsa.svg
ASUN,Austin Peay,Governors,Austin Peay,austin-peay,austin-peay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin-peay.svg
ASUN,Central Ark.,Bears,C Arkansas,central-ark,c-arkansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-ark.svg
ASUN,Queens (NC),Royals,Queens NC,queens-nc,queens-nc,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/queens-nc.svg
ASUN,Lipscomb,Bisons,Lipscomb,lipscomb,lipscomb,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lipscomb.svg
ASUN,West Ga.,Wolves,W Georgia,west-ga,w-georgia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/west-ga.svg
ASUN,FGCU,Eagles,FL Gulf Coast,fgcu,fl-gulf-coast,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fgcu.svg
ASUN,Bellarmine,Knights,Bellarmine,bellarmine,bellarmine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg
ASUN,Stetson,Hatters,Stetson,stetson,stetson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stetson.svg
ASUN,Jacksonville,Dolphins,Jacksonville,jacksonville,jacksonville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville.svg
ASUN,Eastern Ky.,Colonels,E Kentucky,eastern-ky,e-kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ky.svg
ASUN,North Florida,Ospreys,N Florida,north-florida,n-florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-florida.svg
ASUN,North Ala.,Lions,N Alabama,north-ala,n-alabama,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-ala.svg
Atlantic 10,Saint Louis,Billikens,Saint Louis,saint-louis,saint-louis,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-louis.svg
Atlantic 10,VCU,Rams,VA Commonwealth,vcu,va-commonwealth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vcu.svg
Atlantic 10,Dayton,Flyers,Dayton,dayton,dayton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dayton.svg
Atlantic 10,Saint Joseph's,Hawks,ST Josephs,saint-josephs,st-josephs,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-josephs.svg
Atlantic 10,George Mason,Patriots,George Mason,george-mason,george-mason,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-mason.svg
Atlantic 10,Davidson,Wildcats,Davidson,davidson,davidson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg
Atlantic 10,George Washington,Revolutionaries,George Washington,george-washington,george-washington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-washington.svg
Atlantic 10,Duquesne,Dukes,Duquesne,duquesne,duquesne,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duquesne.svg
Atlantic 10,Rhode Island,Rams,Rhode Island,rhode-island,rhode-island,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rhode-island.svg
Atlantic 10,Fordham,Rams,Fordham,fordham,fordham,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fordham.svg
Atlantic 10,Richmond,Spiders,Richmond,richmond,richmond,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/richmond.svg
Atlantic 10,La Salle,Explorers,La Salle,la-salle,la-salle,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-salle.svg
Atlantic 10,St. Bonaventure,Bonnies,ST Bonaventure,st-bonaventure,st-bonaventure,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg
Atlantic 10,Loyola Chicago,Ramblers,Loyola-Chicago,loyola-chicago,loyola-chicago,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-chicago.svg
Big 12,Arizona,Wildcats,Arizona,arizona,arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg
Big 12,Houston,Cougars,Houston,houston,houston,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg
Big 12,Texas Tech,Red Raiders,Texas Tech,texas-tech,texas-tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-tech.svg
Big 12,Iowa St.,Cyclones,Iowa ST,iowa-st,iowa-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa-st.svg
Big 12,Kansas,Jayhawks,Kansas,kansas,kansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg
Big 12,TCU,Horned Frogs,TCU,tcu,tcu,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tcu.svg
Big 12,UCF,Knights,C Florida,ucf,c-florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucf.svg
Big 12,Cincinnati,Bearcats,Cincinnati,cincinnati,cincinnati,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cincinnati.svg
Big 12,BYU,Cougars,Brigham Young,byu,brigham-young,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu.svg
Big 12,West Virginia,Mountaineers,West Virginia,west-virginia,west-virginia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia.svg
Big 12,Colorado,Buffaloes,Colorado,colorado,colorado,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado.svg
Big 12,Arizona St.,Sun Devils,Arizona ST,arizona-st,arizona-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg
Big 12,Oklahoma St.,Cowboys,Oklahoma ST,oklahoma-st,oklahoma-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma-st.svg
Big 12,Baylor,Bears,Baylor,baylor,baylor,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg
Big 12,Kansas St.,Wildcats,Kansas ST,kansas-st,kansas-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg
Big 12,Utah,Utes,Utah,utah,utah,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah.svg
Big East,UConn,Huskies,Connecticut,uconn,connecticut,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg
Big East,St. John's (NY),Red Storm,ST Johns,st-johns-ny,st-johns,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-johns-ny.svg
Big East,Villanova,Wildcats,Villanova,villanova,villanova,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg
Big East,Seton Hall,Pirates,Seton Hall,seton-hall,seton-hall,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/seton-hall.svg
Big East,Creighton,Bluejays,Creighton,creighton,creighton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg
Big East,DePaul,Blue Demons,Depaul,depaul,depaul,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/depaul.svg
Big East,Providence,Friars,Providence,providence,providence,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/providence.svg
Big East,Butler,Bulldogs,Butler,butler,butler,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg
Big East,Xavier,Musketeers,Xavier,xavier,xavier,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg
Big East,Marquette,Golden Eagles,Marquette,marquette,marquette,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marquette.svg
Big East,Georgetown,Hoyas,Georgetown,georgetown,georgetown,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg
Big Sky,Portland St.,Vikings,Portland ST,portland-st,portland-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/portland-st.svg
Big Sky,Montana St.,Bobcats,Montana ST,montana-st,montana-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/montana-st.svg
Big Sky,Eastern Wash.,Eagles,E Washington,eastern-wash,e-washington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-wash.svg
Big Sky,Northern Colo.,Bears,N Colorado,northern-colo,n-colorado,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-colo.svg
Big Sky,Weber St.,Wildcats,Weber ST,weber-st,weber-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/weber-st.svg
Big Sky,Montana,Grizzlies,Montana,montana,montana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/montana.svg
Big Sky,Idaho,Vandals,Idaho,idaho,idaho,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho.svg
Big Sky,Sacramento St.,Hornets,Sacramento ST,sacramento-st,sacramento-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sacramento-st.svg
Big Sky,Idaho St.,Bengals,Idaho ST,idaho-st,idaho-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho-st.svg
Big Sky,Northern Ariz.,Lumberjacks,N Arizona,northern-ariz,n-arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-ariz.svg
Big South,High Point,Panthers,High Point,high-point,high-point,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/high-point.svg
Big South,Winthrop,Eagles,Winthrop,winthrop,winthrop,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/winthrop.svg
Big South,Radford,Highlanders,Radford,radford,radford,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/radford.svg
Big South,Longwood,Lancers,Longwood,longwood,longwood,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/longwood.svg
Big South,UNC Asheville,Bulldogs,UNC-Asheville,unc-asheville,unc-asheville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-asheville.svg
Big South,Presbyterian,Blue Hose,Presbyterian,presbyterian,presbyterian,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/presbyterian.svg
Big South,Charleston So.,Buccaneers,Charleston Southern,charleston-so,charleston-southern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-so.svg
Big South,USC Upstate,Spartans,SC-Upstate,usc-upstate,sc-upstate,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/usc-upstate.svg
Big South,Gardner-Webb,Runnin' Bulldogs,Gardner-Webb,gardner-webb,gardner-webb,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg
Big Ten,Michigan,Wolverines,Michigan,michigan,michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg
Big Ten,Michigan St.,Spartans,Michigan ST,michigan-st,michigan-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg
Big Ten,Nebraska,Cornhuskers,Nebraska,nebraska,nebraska,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nebraska.svg
Big Ten,Illinois,Fighting Illini,Illinois,illinois,illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg
Big Ten,Purdue,Boilermakers,Purdue,purdue,purdue,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg
Big Ten,Wisconsin,Badgers,Wisconsin,wisconsin,wisconsin,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wisconsin.svg
Big Ten,UCLA,Bruins,UCLA,ucla,ucla,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
Big Ten,Ohio St.,Buckeyes,Ohio ST,ohio-st,ohio-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg
Big Ten,Iowa,Hawkeyes,Iowa,iowa,iowa,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg
Big Ten,Indiana,Hoosiers,Indiana,indiana,indiana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana.svg
Big Ten,Southern California,Trojans,USC,southern-california,usc,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg
Big Ten,Washington,Huskies,Washington,washington,washington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington.svg
Big Ten,Minnesota,Golden Gophers,Minnesota,minnesota,minnesota,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/minnesota.svg
Big Ten,Rutgers,Scarlet Knights,Rutgers,rutgers,rutgers,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg
Big Ten,Northwestern,Wildcats,Northwestern,northwestern,northwestern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern.svg
Big Ten,Oregon,Ducks,Oregon,oregon,oregon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg
Big Ten,Maryland,Terrapins,Maryland,maryland,maryland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg
Big Ten,Penn St.,Nittany Lions,Penn ST,penn-st,penn-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-st.svg
Big West,Hawaii,Rainbow Warriors,Hawaii,hawaii,hawaii,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hawaii.svg
Big West,UC Irvine,Anteaters,UC-Irvine,uc-irvine,uc-irvine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-irvine.svg
Big West,UC San Diego,Tritons,UC-San Diego,uc-san-diego,uc-san-diego,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg
Big West,CSUN,Matadors,CSU-Northridge,cal-st-northridge,csu-northridge,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-northridge.svg
Big West,UC Santa Barbara,Gauchos,UC-Santa Barbara,uc-santa-barbara,uc-santa-barbara,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-santa-barbara.svg
Big West,UC Davis,Aggies,UC-Davis,uc-davis,uc-davis,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-davis.svg
Big West,Cal St. Fullerton,Titans,CSU-Fullerton,cal-st-fullerton,csu-fullerton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg
Big West,Cal Poly,Mustangs,Cal Poly SLO,cal-poly,cal-poly-slo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg
Big West,Long Beach St.,Beach,Long Beach ST,long-beach-st,long-beach-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-beach-st.svg
Big West,UC Riverside,Highlanders,UC-Riverside,uc-riverside,uc-riverside,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-riverside.svg
Big West,CSU Bakersfield,Roadrunners,CSU-Bakersfield,bakersfield,csu-bakersfield,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bakersfield.svg
CAA,UNCW,Seahawks,UNC-Wilmington,unc-wilmington,unc-wilmington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-wilmington.svg
CAA,Col. of Charleston,Cougars,Charleston,col-of-charleston,charleston,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/col-of-charleston.svg
CAA,Hofstra,Pride,Hofstra,hofstra,hofstra,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hofstra.svg
CAA,Monmouth,Hawks,Monmouth,monmouth,monmouth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/monmouth.svg
CAA,William & Mary,Tribe,William & Mary,william-mary,william-and-mary,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/william-mary.svg
CAA,Drexel,Dragons,Drexel,drexel,drexel,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drexel.svg
CAA,Stony Brook,Seawolves,Stony Brook,stony-brook,stony-brook,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stony-brook.svg
CAA,Towson,Tigers,Towson,towson,towson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/towson.svg
CAA,Campbell,Camels,Campbell,campbell,campbell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg
CAA,Hampton,Pirates,Hampton,hampton,hampton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hampton.svg
CAA,Elon,Phoenix,Elon,elon,elon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/elon.svg
CAA,N.C. A&T,Aggies,N Carolina A&T,nc-at,n-carolina-a-and-t,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nc-at.svg
CAA,Northeastern,Huskies,Northeastern,northeastern,northeastern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northeastern.svg
CUSA,Liberty,Flames,Liberty,liberty,liberty,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/liberty.svg
CUSA,Sam Houston,Bearkats,Sam Houston ST,sam-houston-st,sam-houston-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sam-houston-st.svg
CUSA,Western Ky.,Hilltoppers,W Kentucky,western-ky,w-kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-ky.svg
CUSA,Kennesaw St.,Owls,Kennesaw ST,kennesaw-st,kennesaw-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kennesaw-st.svg
CUSA,Louisiana Tech,Bulldogs,Louisiana Tech,louisiana-tech,louisiana-tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisiana-tech.svg
CUSA,Middle Tenn.,Blue Raiders,Middle Tenn ST,middle-tenn,middle-tenn-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/middle-tenn.svg
CUSA,Jacksonville St.,Gamecocks,Jacksonville ST,jacksonville-st,jacksonville-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville-st.svg
CUSA,FIU,Panthers,Florida INTL,fiu,florida-intl,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fiu.svg
CUSA,Missouri St.,Bears,Missouri ST,missouri-st,missouri-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri-st.svg
CUSA,New Mexico St.,Aggies,New Mexico ST,new-mexico-st,new-mexico-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico-st.svg
CUSA,UTEP,Miners,Texas-El Paso,utep,texas-el-paso,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utep.svg
CUSA,Delaware,Blue Hens,Delaware,delaware,delaware,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware.svg
Horizon,Wright St.,Raiders,Wright ST,wright-st,wright-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wright-st.svg
Horizon,Robert Morris,Colonials,Robert Morris,robert-morris,robert-morris,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/robert-morris.svg
Horizon,Green Bay,Phoenix,UW-Green Bay,green-bay,uw-green-bay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/green-bay.svg
Horizon,Detroit Mercy,Titans,Detroit,detroit,detroit,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/detroit.svg
Horizon,Oakland,Golden Grizzlies,Oakland,oakland,oakland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oakland.svg
Horizon,Purdue Fort Wayne,Mastodons,IPFW,ipfw,ipfw,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ipfw.svg
Horizon,Northern Ky.,Norse,N Kentucky,northern-ky,n-kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-ky.svg
Horizon,Youngstown St.,Penguins,Youngstown ST,youngstown-st,youngstown-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/youngstown-st.svg
Horizon,Milwaukee,Panthers,UW-Milwaukee,milwaukee,uw-milwaukee,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/milwaukee.svg
Horizon,Cleveland St.,Vikings,Cleveland ST,cleveland-st,cleveland-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cleveland-st.svg
Horizon,IU Indy,Jaguars,IUPUI,iu-indy,iupui,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iu-indy.svg
Ivy League,Yale,Bulldogs,Yale,yale,yale,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/yale.svg
Ivy League,Harvard,Crimson,Harvard,harvard,harvard,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/harvard.svg
Ivy League,Penn,Quakers,Pennsylvania,penn,pennsylvania,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn.svg
Ivy League,Cornell,Big Red,Cornell,cornell,cornell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cornell.svg
Ivy League,Columbia,Lions,Columbia,columbia,columbia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/columbia.svg
Ivy League,Dartmouth,Big Green,Dartmouth,dartmouth,dartmouth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg
